id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue
164933187,trainindata/deploying-machine-learning-models,https://api.github.com/repos/trainindata/deploying-machine-learning-models,414,3949,False,51,10,5
189305903,tensorflow/text,https://api.github.com/repos/tensorflow/text,887,180,False,799,39,152
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3583,963,False,11817,546,714
136194704,CSBDeep/CSBDeep,https://api.github.com/repos/CSBDeep/CSBDeep,187,60,False,335,20,41
380363891,https-deeplearning-ai/tensorflow-1-public,https://api.github.com/repos/https-deeplearning-ai/tensorflow-1-public,330,410,False,263,0,25
252778465,NVIDIA-Merlin/NVTabular,https://api.github.com/repos/NVIDIA-Merlin/NVTabular,638,98,False,1018,185,567
210882381,interpretml/interpret-community,https://api.github.com/repos/interpretml/interpret-community,314,71,False,445,19,66
301484505,stepthom/NLP_course,https://api.github.com/repos/stepthom/NLP_course,11,11,False,35,0,0
271800973,GoogleCloudPlatform/asl-ml-immersion,https://api.github.com/repos/GoogleCloudPlatform/asl-ml-immersion,19,57,False,1258,9,22
70155397,exasol/script-languages,https://api.github.com/repos/exasol/script-languages,12,14,False,599,2,44
172114524,rapidsai-community/notebooks-contrib,https://api.github.com/repos/rapidsai-community/notebooks-contrib,378,226,False,1450,30,49
108329371,fastmachinelearning/hls4ml,https://api.github.com/repos/fastmachinelearning/hls4ml,603,222,False,1476,123,202
322113101,IQTLabs/SkyScan,https://api.github.com/repos/IQTLabs/SkyScan,206,15,False,1284,2,5
147851824,aws-samples/eks-workshop,https://api.github.com/repos/aws-samples/eks-workshop,657,1007,False,1031,114,281
292038284,rapidsai-community/showcase,https://api.github.com/repos/rapidsai-community/showcase,17,24,False,38,0,1
219559345,JdeRobot/BehaviorMetrics,https://api.github.com/repos/JdeRobot/BehaviorMetrics,32,21,False,1136,37,254
58882601,polyaxon/traceml,https://api.github.com/repos/polyaxon/traceml,434,211,False,9847,6,7
301446732,secondmind-labs/trieste,https://api.github.com/repos/secondmind-labs/trieste,105,24,False,426,79,97
360551298,tensorflow/decision-forests,https://api.github.com/repos/tensorflow/decision-forests,393,47,False,482,25,101
103808346,tykimos/tykimos.github.io,https://api.github.com/repos/tykimos/tykimos.github.io,17,17,False,1133,0,0
64573324,jeffheaton/t81_558_deep_learning,https://api.github.com/repos/jeffheaton/t81_558_deep_learning,4285,2331,False,1001,1,114
267485383,kneron/ONNX_Convertor,https://api.github.com/repos/kneron/ONNX_Convertor,31,12,False,311,0,4
114747226,deepfakes/faceswap,https://api.github.com/repos/deepfakes/faceswap,40256,11485,False,1722,13,784
184217837,TinyHandsome/BookStudy,https://api.github.com/repos/TinyHandsome/BookStudy,11,16,False,458,0,0
124039302,jilljenn/ktm,https://api.github.com/repos/jilljenn/ktm,96,24,False,92,2,6
149832847,arogozhnikov/einops,https://api.github.com/repos/arogozhnikov/einops,4273,172,False,545,32,100
221626752,P01son6415/CSL,https://api.github.com/repos/P01son6415/CSL,109,13,False,0,0,0
394337539,NVIDIA/spark-rapids-examples,https://api.github.com/repos/NVIDIA/spark-rapids-examples,19,16,False,221,17,52
130670507,TrickyGo/Dive-into-DL-TensorFlow2.0,https://api.github.com/repos/TrickyGo/Dive-into-DL-TensorFlow2.0,3405,793,False,369,20,35
197039749,14H034160212/HHH-An-Online-Question-Answering-System-for-Medical-Questions,https://api.github.com/repos/14H034160212/HHH-An-Online-Question-Answering-System-for-Medical-Questions,35,18,False,193,0,2
3694405,NVIDIA-developer-blog/code-samples,https://api.github.com/repos/NVIDIA-developer-blog/code-samples,914,555,False,131,15,9
157936206,tensorflow/agents,https://api.github.com/repos/tensorflow/agents,2175,595,False,2191,155,452
329117231,intel/openfl,https://api.github.com/repos/intel/openfl,245,64,False,507,64,120
255711241,autogoal/autogoal,https://api.github.com/repos/autogoal/autogoal,151,48,False,1059,20,52
42763344,apache/madlib-site,https://api.github.com/repos/apache/madlib-site,79,49,False,132,0,0
