id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators
129366435,stellargraph/stellargraph,https://api.github.com/repos/stellargraph/stellargraph,2274,342,2535,253,734,30
87264011,GeoscienceAustralia/hiperseis,https://api.github.com/repos/GeoscienceAustralia/hiperseis,42,14,2523,2,95,15
185701977,huaweicloud/ModelArts-Lab,https://api.github.com/repos/huaweicloud/ModelArts-Lab,890,868,2507,59,111,276
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11254,2493,2497,848,1199,340
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10980,1561,2496,255,1244,146
117476981,kushalkolar/MESmerize,https://api.github.com/repos/kushalkolar/MESmerize,28,12,2494,10,36,5
109618587,analysiscenter/radio,https://api.github.com/repos/analysiscenter/radio,207,51,2488,19,26,9
233016299,google/flax,https://api.github.com/repos/google/flax,2635,300,2487,130,312,125
14734876,eclipse/deeplearning4j,https://api.github.com/repos/eclipse/deeplearning4j,12345,4933,2479,760,4819,56
140285687,osmr/imgclsmob,https://api.github.com/repos/osmr/imgclsmob,2457,499,2476,6,83,3
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4252,987,2468,7,254,32
19008910,ShifuML/shifu,https://api.github.com/repos/ShifuML/shifu,219,108,2452,228,215,16
151636194,triton-inference-server/server,https://api.github.com/repos/triton-inference-server/server,3229,758,2445,111,1536,75
139156354,openvinotoolkit/cvat,https://api.github.com/repos/openvinotoolkit/cvat,6830,1821,2438,324,1663,147
104096218,eclipse/xacc,https://api.github.com/repos/eclipse/xacc,113,59,2423,50,170,19
126507129,Kaggle/learntools,https://api.github.com/repos/Kaggle/learntools,320,185,2410,16,10,26
91284550,studioml/studio,https://api.github.com/repos/studioml/studio,374,52,2409,57,195,12
250213286,huggingface/datasets,https://api.github.com/repos/huggingface/datasets,12069,1476,2406,416,866,364
13310592,LLNL/magpie,https://api.github.com/repos/LLNL/magpie,156,44,2396,37,162,10
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3699,477,2355,145,940,67
110621895,aws/sagemaker-python-sdk,https://api.github.com/repos/aws/sagemaker-python-sdk,1563,742,2350,310,650,236
129936360,PennyLaneAI/pennylane,https://api.github.com/repos/PennyLaneAI/pennylane,1156,345,2349,103,468,85
94956993,crownpku/Rasa_NLU_Chi,https://api.github.com/repos/crownpku/Rasa_NLU_Chi,1291,400,2348,75,23,78
267792621,Tencent/TNN,https://api.github.com/repos/Tencent/TNN,3346,596,2348,192,524,58
228700143,plasma-umass/scalene,https://api.github.com/repos/plasma-umass/scalene,5293,182,2322,40,141,26
62756469,scanner-research/scanner,https://api.github.com/repos/scanner-research/scanner,594,101,2303,69,165,12
60393045,lyy289065406/expcodes,https://api.github.com/repos/lyy289065406/expcodes,10,10,2301,0,1,1
49643229,GPflow/GPflow,https://api.github.com/repos/GPflow/GPflow,1586,415,2274,102,624,67
85352239,h2oai/h2o4gpu,https://api.github.com/repos/h2oai/h2o4gpu,437,104,2267,145,242,23
151525500,sql-machine-learning/sqlflow,https://api.github.com/repos/sql-machine-learning/sqlflow,4442,662,2220,245,777,39
107937815,aws/amazon-sagemaker-examples,https://api.github.com/repos/aws/amazon-sagemaker-examples,6515,4901,2214,516,683,357
147820807,my-first-pr/hacktoberfest-2018,https://api.github.com/repos/my-first-pr/hacktoberfest-2018,55,804,2207,1,5,440
300285582,q-optimize/c3,https://api.github.com/repos/q-optimize/c3,40,23,2191,36,41,13
118620583,mozilla/TTS,https://api.github.com/repos/mozilla/TTS,5617,903,2184,17,510,43
154412076,IntelAI/models,https://api.github.com/repos/IntelAI/models,340,140,2183,21,29,73
148587083,py4dstem/py4DSTEM,https://api.github.com/repos/py4dstem/py4DSTEM,93,81,2160,26,43,18
104001805,HealthRex/CDSS,https://api.github.com/repos/HealthRex/CDSS,64,27,2154,80,261,25
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2214,1141,2125,79,266,107
185250428,ASKCOS/ASKCOS,https://api.github.com/repos/ASKCOS/ASKCOS,118,35,2114,4,12,11
156403341,deephyper/deephyper,https://api.github.com/repos/deephyper/deephyper,155,39,2114,12,70,16
130375797,dmlc/dgl,https://api.github.com/repos/dmlc/dgl,8903,2023,2114,263,1069,187
85491050,tensorforce/tensorforce,https://api.github.com/repos/tensorforce/tensorforce,3086,517,2099,5,622,63
56975673,dpressel/mead-baseline,https://api.github.com/repos/dpressel/mead-baseline,240,67,2083,9,59,11
329405026,deislabs/mystikos,https://api.github.com/repos/deislabs/mystikos,80,40,2075,86,173,23
33518425,PsychoinformaticsLab/pliers,https://api.github.com/repos/PsychoinformaticsLab/pliers,261,65,2074,41,184,25
155687643,SimonBlanke/Hyperactive,https://api.github.com/repos/SimonBlanke/Hyperactive,363,32,2059,5,36,4
86591712,dPys/PyNets,https://api.github.com/repos/dPys/PyNets,108,40,2051,0,43,9
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15424,2329,2011,1257,571,125
157936206,tensorflow/agents,https://api.github.com/repos/tensorflow/agents,2180,596,2008,107,419,102
91797088,nuclio/nuclio,https://api.github.com/repos/nuclio/nuclio,4277,429,2001,107,374,68
102057483,deepinsight/insightface,https://api.github.com/repos/deepinsight/insightface,11168,3632,1974,982,824,35
109252675,OpenNMT/OpenNMT-tf,https://api.github.com/repos/OpenNMT/OpenNMT-tf,1295,356,1964,23,370,20
33904449,Kaggle/docker-python,https://api.github.com/repos/Kaggle/docker-python,1886,816,1958,14,269,123
161247988,SciSharp/TensorFlow.NET,https://api.github.com/repos/SciSharp/TensorFlow.NET,2243,388,1953,118,525,54
276864551,ecmwf/climetlab,https://api.github.com/repos/ecmwf/climetlab,160,32,1950,0,16,7
135559956,sentinel-hub/eo-learn,https://api.github.com/repos/sentinel-hub/eo-learn,844,257,1943,7,126,29
11688464,acgetchell/CDT-plusplus,https://api.github.com/repos/acgetchell/CDT-plusplus,49,22,1920,2,20,7
125682590,yghlc/Landuse_DL,https://api.github.com/repos/yghlc/Landuse_DL,22,14,1895,0,2,2
208313010,NVIDIA-Merlin/HugeCTR,https://api.github.com/repos/NVIDIA-Merlin/HugeCTR,566,131,1885,58,180,32
106888772,henrysky/astroNN,https://api.github.com/repos/henrysky/astroNN,146,40,1880,4,8,1
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,566,119,1879,39,102,44
100326126,plaidml/plaidml,https://api.github.com/repos/plaidml/plaidml,4328,406,1861,285,301,43
249615315,nnstreamer/nntrainer,https://api.github.com/repos/nnstreamer/nntrainer,64,32,1850,148,396,14
